headword,type,cefr,meaning,ipa,example,image_link,topic
crony,noun,C2,"a close friend or companion, especially of someone powerful",/'kr??.ni/,He was surrounded by political cronies.,,
dribble,verb,C2,to fall or let fall in drops; to move a ball by repeated small kicks or bounces,/'dr?b.?l/,The baby dribbled milk.,,
dribble,verb,C2,to move a ball by repeated small kicks or bounces,/'dr?b.?l/,He dribbled the ball down the field.,,
dribble,noun,C2,a small amount of liquid that falls in drops; the act of moving a ball by repeated small kicks or bounces,/'dr?b.?l/,There was a dribble of water.,,
ingrate,noun,C2,an ungrateful person,/'?n.gre?t/,He is an ingrate who never says thank you.,,
prise,verb,C2,to use force to move something; to obtain something with effort,/pra?z/,She prised open the box.,,
rickety,adjective,C2,poorly made and likely to collapse,/'r?k.?.ti/,The rickety chair broke.,,
consign,verb,C2,"to deliver something to a person's custody, typically to be sold; to send to a place",/k?n'sa?n/,The goods were consigned to the warehouse.,,
consignment,noun,C2,a batch of goods destined for or delivered to someone,/k?n'sa?n.m?nt/,The consignment arrived yesterday.,,
fete,noun,C2,"a public function, typically held outdoors and organized to raise funds for a charity; a celebration",/fe?t/,They held a summer fete.,,
dole out,verb,C2,"to give something, such as money or food, to a number of people",/d??l a?t/,The teacher doled out the assignments.,,
opulent,adjective,C2,ostentatiously rich and luxurious or lavish,/'?p.j?.l?nt/,They live in an opulent mansion.,,
opulence,noun,C2,great wealth or luxuriousness,/'?p.j?.l?ns/,The opulence of the palace was stunning.,,
opulently,adverb,C2,in a way that shows great wealth or luxury,/'?p.j?.l?nt.li/,The room was opulently decorated.,,
plutocrat,noun,C2,a person whose power derives from their wealth,/'plu?.t?.kr?/,The country is run by plutocrats.,,
averse,adjective,C2,having a strong dislike of or opposition to something,/?'v??s/,He is averse to taking risks.,,
edify,verb,C2,to instruct or improve someone morally or intellectually,/'ed.?.fa?/,The story is meant to edify readers.,,
edification,noun,C2,the instruction or improvement of a person morally or intellectually,/?ed.?.f?'ke?.??n/,The book is for the edification of students.,,
converse,adjective,C2,"opposite or reversed in order, relation, or action",/'k?n.v??s/,The converse effect was observed.,,
converse,noun,C2,"a situation, object, or statement that is the reverse of another",/'k?n.v??s/,The converse is also true.,,
sterility,noun,C2,the state of being free from living germs or microorganisms; inability to reproduce,/st?'r?l.?.ti/,The equipment was checked for sterility.,,
rhetoric,noun,C2,the art of effective or persuasive speaking or writing; language designed to have a persuasive effect but often regarded as lacking sincerity,/'ret.?r.?k/,His speech was full of rhetoric.,,
rhetorical,adjective,C2,relating to the art of rhetoric; asked to produce an effect rather than to get an answer,/r?'t?r.?.k?l/,He asked a rhetorical question.,,
rhetorically,adverb,C2,in a way that relates to rhetoric or is intended to persuade,/r?'t?r.?.kli/,He spoke rhetorically.,,
flighty,adjective,C2,fickle and irresponsible,/'fla?.ti/,She is too flighty to keep a job.,,
flightiness,noun,C2,the quality of being fickle or irresponsible,/'fla?.ti.n?s/,Her flightiness annoyed her boss.,,
brimstone,noun,C2,"sulphur, especially as used in reference to fire and brimstone in the Bible",/'br?m.st??n/,The preacher spoke of fire and brimstone.,,
impeccable,adjective,C2,in accordance with the highest standards; faultless,/?m'pek.?.b?l/,Her manners are impeccable.,,
impeccably,adverb,C2,in a way that is perfect or without fault,/?m'pek.?.bli/,He was impeccably dressed.,,
romp,verb,C2,"to play or move about in a lively, energetic way",/r?mp/,The children romped in the garden.,,
romper,noun,C2,a one-piece garment for a baby or young child; a person or animal that romps,/'r?m.p?r/,The baby wore a blue romper.,,
meticulous,adjective,C2,showing great attention to detail; very careful and precise,/m?'t?k.j?.l?s/,She is meticulous in her work.,,
meticulously,adverb,C2,in a way that shows great attention to detail,/m?'t?k.j?.l?s.li/,He checked the report meticulously.,,
ingratiate,verb,C2,to try to make someone like you by flattering or trying to please them,/?n'gre?.?i.e?t/,He tried to ingratiate himself with the boss.,,
ingratiating,adjective,C2,intended to gain approval or favor; sycophantic,/?n'gre?.?i.e?.t??/,She gave him an ingratiating smile.,,
ingratiatingly,adverb,C2,in a way that is intended to gain approval or favor,/?n'gre?.?i.e?.t??.li/,He spoke ingratiatingly.,,
shimmer,verb,C2,"to shine with a soft, slightly wavering light",/'??m.?r/,The lake shimmered in the sunlight.,,
hull,noun,C2,the main body of a ship or boat; the outer covering of a seed or fruit,/h?l/,The ship's hull was damaged.,,
cull,verb,C2,to select from a large quantity; to reduce the population of a wild animal by selective slaughter,/k?l/,The herd was culled to prevent disease.,,
swivel,verb,C2,to turn around a point or axis or make something do this,/'sw?v.?l/,She swiveled in her chair.,,
relinquish,verb,C2,to give up or let go of something,/r?'l??.kw??/,He relinquished control of the company.,,
quiver,verb,C2,to tremble or shake with a slight rapid motion,/'kw?v.?r/,Her voice quivered with emotion.,,
quiver,noun,C2,a slight trembling movement or sound; a container for arrows,/'kw?v.?r/,He reached for an arrow in his quiver.,,
sandwiched,adjective,C2,placed or squeezed between two people or things,/'s?.w?t?t/,She was sandwiched between two strangers.,,
mottled,adjective,C2,marked with spots or smears of color,/'m?t.?ld/,The leaves are mottled with brown.,,
epoxy,noun,C2,a strong adhesive or plastic made from a class of synthetic thermosetting polymers,/?'p?k.si/,He used epoxy to fix the table.,,
resin,noun,C2,a sticky substance produced by some trees and plants; a solid or liquid synthetic organic polymer,/'rez.?n/,The sculpture is made of resin.,,
sedately,adverb,C2,"in a calm, dignified, and unhurried manner",/s?'de?t.li/,They walked sedately through the park.,,
angular,adjective,C2,having angles or sharp corners; lean and having prominent bone structure,/'?.gj?.l?r/,He has an angular face.,,
angularity,noun,C2,the quality of having angles or sharp corners,/??.gj?'l?.?.ti/,The angularity of the design is striking.,,
dampen,verb,C2,to make something slightly wet; to make feelings less strong,/'d?.p?n/,Rain dampened our spirits.,,
buccaneer,verb,C2,to act as a pirate; to engage in piracy,/?b?k.?'n??r/,They buccaneered along the coast.,,
buccaneer,noun,C2,"a pirate, especially one who attacked Spanish ships in the Caribbean during the 17th century",/?b?k.?'n??r/,The buccaneers searched for treasure.,,
conglomerate,noun,C2,a large corporation formed by the merging of separate and diverse firms; a mass of different things grouped together,/k?n'gl?m.?r.?t/,The company is a media conglomerate.,,
cay,noun,C2,"a small, low-elevation, sandy island on the surface of a coral reef",/ki?/,They visited a tropical cay.,,
singe,verb,C2,to burn something slightly,/s?nd?/,He singed his hair on the candle.,,
cordon,verb,C2,to prevent access to or from an area by surrounding it with police or other guards,/'k??.d?n/,Police cordoned off the street.,,
fabled,adjective,C2,"famous, especially by reputation; mythical",/'fe?.b?ld/,They searched for the fabled city.,,
glint,verb,C2,to give out or reflect small flashes of light,/gl?nt/,Her eyes glinted with excitement.,,
glint,noun,C2,"a small flash of light, especially as reflected from a shiny surface",/gl?nt/,A glint of sunlight caught his eye.,,
infernal,adjective,C2,relating to hell; very bad or unpleasant,/?n'f??.n?l/,The infernal noise kept me awake.,,
infernally,adverb,C2,in a way that is very bad or unpleasant; relating to hell,/?n'f??.n?l.i/,It was infernally hot.,,
presentational,adjective,C2,relating to the act of presenting something,/pr??zen.te?'??n.?l/,He used presentational skills.,,
embed,verb,C2,to fix something firmly and deeply in a surrounding mass,/?m'bed/,The journalist was embedded with the troops.,,
plume,noun,C2,"a long, soft feather or arrangement of feathers; a cloud of smoke, dust, or vapor",/plu?m/,A plume of smoke rose from the fire.,,
happenstance,noun,C2,a chance occurrence or event,/'h?.?n.st??ns/,"By happenstance, they met again.",,
venture,noun,C2,a risky or daring journey or undertaking; a business enterprise,/'ven.t??r/,The new venture was successful.,,
reconcile,verb,C2,to restore friendly relations; to make two things compatible,/'rek.?n.sa?l/,They reconciled after the argument.,,
reconciliation,noun,C2,the restoration of friendly relations,/?rek.?n?s?l.i'e?.??n/,The reconciliation took time.,,
conciliatory,adjective,C2,intended or likely to placate or pacify,/k?n's?l.i.?.t?r.i/,He made a conciliatory gesture.,,
conciliation,noun,C2,the action of stopping someone from being angry; placation,/k?n?s?l.i'e?.??n/,Conciliation is important in negotiations.,,
preconception,noun,C2,an idea or opinion formed before having the evidence for its truth or usefulness,/?pri?.k?n'sep.??n/,She had no preconceptions about the job.,,
baroque,adjective,C2,"relating to a highly ornate and extravagant style of art, music, or architecture",/b?'r?k/,The church has baroque architecture.,,
virginal,adjective,C2,pure and unspoiled; relating to a virgin,/'v??.d??.n?l/,The snow was virginal and untouched.,,
spire,noun,C2,"a tapering conical or pyramidal structure on the top of a building, typically a church tower",/spa??r/,The church spire is visible for miles.,,
elephantine,adjective,C2,"resembling an elephant, especially in size, strength, or clumsiness",/?el.?'f?.ta?n/,He made elephantine movements.,,
agency,noun,C2,a business or organization providing a particular service; the capacity to act or exert power,/'e?.d??n.si/,She works at an advertising agency.,,
condone,verb,C2,to accept or allow behavior that is morally wrong or offensive,/k?n'd??n/,The school does not condone cheating.,,
commodity,noun,C2,a raw material or primary agricultural product that can be bought and sold,/k?'m?d.?.ti/,Oil is a valuable commodity.,,
commode,noun,C2,a piece of furniture containing a concealed chamber pot; a toilet,/k?'m??d/,The antique commode was restored.,,
unobtrusive,adjective,C2,not conspicuous or attracting attention,/??n.?b'tru?.s?v/,He was quiet and unobtrusive.,,
unobtrusively,adverb,C2,in a way that does not attract attention,/??n.?b'tru?.s?v.li/,She entered unobtrusively.,,
unobtrusiveness,noun,C2,the quality of not attracting attention,/??n.?b'tru?.s?v.n?s/,He valued his unobtrusiveness.,,
compellingly,adverb,C2,"in a way that evokes interest, attention, or admiration",/k?m'pel.??.li/,She spoke compellingly.,,
hauntingly,adverb,C2,in a way that is poignant and evocative; difficult to forget,/'h??n.t??.li/,The melody is hauntingly beautiful.,,
brim,verb,C2,to be full to the point of overflowing,/br?m/,The cup brimmed with tea.,,
hazard,verb,C2,to risk something or put it in danger,/'h?.?d/,He hazarded a guess.,,
authenticity,noun,C2,the quality of being genuine or real,/???.?en't?s.?.ti/,The painting's authenticity was confirmed.,,
scholarly,adjective,C2,involving or relating to serious academic study,/'sk?l.?.li/,She wrote a scholarly article.,,
accessibility,noun,C2,the quality of being easy to obtain or use,/?k?ses.?'b?l.?.ti/,The building's accessibility is excellent.,,
cognitive,adjective,C2,"relating to mental processes such as awareness, perception, reasoning, and judgment",/'k?g.n?.t?v/,Cognitive development is important in children.,,
artifact,noun,C2,"an object made by a human being, typically of cultural or historical interest",/'??.t?.f?t/,The museum displayed ancient artifacts.,,
preservationist,noun,C2,"a person who advocates for the preservation of something, especially historic buildings or the environment",/?prez.?'ve?.??n.?st/,She is a preservationist.,,
qualm,noun,C2,"an uneasy feeling of doubt, worry, or fear",/kw??m/,He had no qualms about lying.,,
besiege,verb,C2,to surround a place with armed forces in order to capture it or force its surrender; to overwhelm someone with requests or questions,/b?'si?d?/,The city was besieged by the army.,,
cloister,noun,C2,"a covered walk in a convent, monastery, or cathedral, typically with a wall on one side and a colonnade open to a quadrangle on the other",/'kl??.st?r/,The monks walked in the cloister.,,
cloistered,adjective,C2,kept away from the outside world; sheltered,/'kl??.st?d/,She led a cloistered life.,,
annex,noun,C2,"a building joined to or associated with a main building, providing additional space or accommodations",/'?.eks/,The library has a new annex.,,
annex,verb,C2,"to add or attach, especially to a document or territory",/?'neks/,The country annexed the territory.,,
resuscitate,verb,C2,to revive someone from unconsciousness or apparent death,/r?'s?s.?.te?t/,They tried to resuscitate the patient.,,
resuscitation,noun,C2,the act of reviving someone from unconsciousness or apparent death,/r??s?s.?'te?.??n/,CPR is used for resuscitation.,,
ravish,verb,C2,to seize and carry off by force; to fill with intense delight,/'r?.??/,She was ravished by the music.,,
fabricate,verb,C2,"to invent or concoct something, typically with deceitful intent; to manufacture",/'f?.r?.ke?t/,He fabricated evidence.,,
fabrication,noun,C2,the action or process of manufacturing or inventing something; a lie,/?f?.r?'ke?.??n/,The story was a fabrication.,,
patchy,adjective,C2,not of the same quality throughout; uneven,/'p??.i/,The paint job is patchy.,,
patchily,adverb,C2,in an uneven or irregular way,/'p??.?.li/,The grass grew patchily.,,
resounding,adjective,C2,unmistakable; emphatic; echoing,/r?'za?n.d??/,The team won a resounding victory.,,
resoundingly,adverb,C2,in an unmistakable or emphatic way; with a loud sound,/r?'za?n.d??.li/,They were resoundingly defeated.,,
